iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
202	0.1795997265	0.9326019217	0.9236177693
203	0.1794185755	0.9323108839	0.9232981783
204	0.179099193	0.9323108839	0.9232981783
205	0.1786283914	0.9323108839	0.9232981783
206	0.1784689053	0.9323108839	0.9232981783
207	0.1779977431	0.9320653573	0.9229785874
208	0.1776309248	0.9320653573	0.9229785874
209	0.1772097734	0.9320653573	0.9229785874
210	0.1767689407	0.9320653573	0.9229785874
211	0.1765103888	0.9318618495	0.9229785874
212	0.1761890198	0.9322897391	0.9232981783
213	0.1759717085	0.9327387735	0.9236177693
214	0.1756424357	0.9329880665	0.9236177693
215	0.1753530253	0.9329880665	0.9236177693
216	0.1750750624	0.9325459149	0.9236177693
217	0.1747581909	0.9325459149	0.9236177693
218	0.1745622708	0.9327807923	0.9239373602
219	0.1740721197	0.9327807923	0.9239373602
220	0.1735377068	0.9327807923	0.9239373602
221	0.1732989495	0.933185972	0.9242569511
222	0.1728243611	0.9336807917	0.924576542
223	0.172477176	0.933185972	0.9242569511
224	0.172320642	0.9334392327	0.924576542
225	0.1720592722	0.9337187091	0.9248961329
226	0.1717608548	0.9342710412	0.9252157239
227	0.1713329507	0.9342710412	0.9252157239
228	0.1705701924	0.9345243019	0.9255353148
229	0.1703858326	0.9345243019	0.9255353148
230	0.1701376871	0.934962687	0.9258549057
231	0.1696264404	0.9347395892	0.9255353148
232	0.1692138746	0.9347395892	0.9255353148
233	0.1689228082	0.9351038131	0.9258549057
234	0.1686910648	0.9353671875	0.9261744966
235	0.1683288944	0.9353671875	0.9261744966
236	0.1681324703	0.9353671875	0.9261744966
237	0.1676181115	0.9355929625	0.9264940876
238	0.1672935858	0.9355929625	0.9264940876
239	0.167023573	0.9355929625	0.9264940876
240	0.1667836304	0.9355929625	0.9264940876
241	0.166543747	0.9355929625	0.9264940876
242	0.1662829548	0.9355929625	0.9264940876
243	0.166042153	0.935970041	0.9268136785
244	0.1657415802	0.935750483	0.9264940876
245	0.1655445923	0.9362303211	0.9271332694
246	0.1651074046	0.9362303211	0.9271332694
247	0.1647903597	0.936715379	0.9274528603
248	0.1644234691	0.936715379	0.9274528603
249	0.1642453974	0.9369630473	0.9277724513
250	0.1641365247	0.9374949041	0.9280920422
251	0.1639399758	0.9377108628	0.9284116331
252	0.1636520631	0.9379565976	0.928731224
253	0.1634747388	0.9381761556	0.929050815
254	0.163128123	0.9385043863	0.9293704059
255	0.1630371307	0.9385043863	0.9293704059
256	0.162750223	0.9387954242	0.9296899968
257	0.1626547182	0.9387954242	0.9296899968
258	0.1624351114	0.9387948788	0.9296899968
259	0.1621601035	0.9390876306	0.9300095877
260	0.1619136069	0.9390876306	0.9300095877
261	0.1617450098	0.9393217941	0.9303291787
262	0.1614497562	0.9390876306	0.9300095877
263	0.1612419858	0.9393297661	0.9303291787
264	0.1610357113	0.9395639296	0.9306487696
265	0.1609034602	0.9393217941	0.9303291787
266	0.1604417849	0.9388367362	0.9300095877
267	0.1599835632	0.939364347	0.9306487696
268	0.1596330879	0.939364347	0.9306487696
269	0.1595403762	0.939372319	0.9306487696
270	0.1593125952	0.9396180538	0.9309683605
271	0.1591032458	0.9400289051	0.9312879514
272	0.1588960831	0.9400062979	0.9312879514
273	0.158602776	0.9400062979	0.9312879514
274	0.1581711736	0.9402484334	0.9316075423
275	0.1578765471	0.9402484334	0.9316075423
276	0.1576265164	0.9404660281	0.9319271333
277	0.1575574996	0.9404660281	0.9319271333
278	0.1574186198	0.9404660281	0.9319271333
279	0.1571212715	0.9409094368	0.9322467242
280	0.157006985	0.9409094368	0.9322467242
281	0.1567751896	0.9409094368	0.9322467242
282	0.1565606027	0.9409094368	0.9322467242
